Name,Code_M2,Code_M1,Label
Numeric,B1SPWBG1,A1SPWBG,Personal Growth (Psychological Well-Being 3-item)
Numeric,B1SPWBR1,A1SPWBR,Positive Relations with Others (Psychological Well-Being 3-item)
Numeric,B1SPWBU1,A1SPWBU,Purpose in Life (Psychological Well-Being 3-item)
Numeric,B1SPWBS1,A1SPWBS,Self-Acceptance (Psychological Well-Being 3-item)
Code,B1SE4A,A1SF1S,Little can do to change important things
Code,B1SE4B,A1SF1T,Helpless dealing with problems of life
Code,B1SE4C,A1SF1U,Do just about anything I set my mind to
Code,B1SE4D,A1SF1V,Others determine what I can and cannot do
Code,B1SE4E,A1SF1W,What happens in life is beyond my control
Code,B1SE4F,A1SF1X,"When really want something, find way"
Code,B1SE4G,A1SF1Y,Many things interfere with what I want do
Numeric,B1SCTRL,A1SCTRL,Sense of Control (Mastery + Constraints)
Code,B1SE6N,A1SF4N,Creative describes you how well
Code,B1SE6O,A1SF4O,Assertive describes you how well
Code,B1SE6Q,A1SF4Q,Imaginative describes you how well
Code,B1SE6S,A1SF4S,Calm describes you how well
Code,B1SE6X,A1SF4X,Careless describes you how well
Code,B1SE6Y,A1SF4Y,Broad minded describes you how well
Code,B1SE6Z,A1SF4Z,Sympathetic describes you how well
Code,B1SE12A,A1SF3A,Where there's a will there's a way
Code,B1SE12B,A1SF3B,Do what can to change for better
Code,B1SE12C,A1SF3C,"If expectation not being met, lower them"
Code,B1SE12D,A1SF3D,"To avoid disappointments, don't set goals too high"
Code,B1SE12E,A1SF3E,Learn meaningful from difficult situation
Code,B1SE12F,A1SF3F,Relieved when let go of responsibilities
Code,B1SE12G,A1SF3G,"Even when feel too much, get it all done"
Code,B1SE12H,A1SF3H,Find different way of looking at things
Code,B1SE12J,A1SF3J,"When problems, don't give up until solve them"
Code,B1SE12K,A1SF3K,Rarely give up even when get tough
Code,B1SE12L,A1SF3L,"Can't get want, assume goals unrealistic"
Code,B1SE12N,A1SF3N,Find positive even in worst situations
Code,B1SE12O,A1SF3O,Like to make plans for future
Code,B1SE12Q,A1SF3Q,I live one day at a time
Code,B1SE12R,A1SF3T,Helpful to set goals for near future
Code,B1SE12S,A1SF3U,Too many things today to worry about tomorrow
Code,B1SE12Z,A1SF3GG,Asking others comes naturally for me
Numeric,B1SPERSI,A1SPERSI,Persist in Goal Striving (Primary Control)
Numeric,B1SREAPP,A1SREAPP,Positive Reappraisal (Secondary Control)
Numeric,B1SCHANG,A1SCHANG,Lower Aspirations (Secondary Control)
Numeric,B1SDIREC,A1SDIREC,Self Directedness and Planning
Numeric,B1STODAY,A1STODAY,Live for Today
Code,B1SH16D,A1SK17D,Have something valuable to give world
Code,B1SH16E,A1SK17E,World is becoming better place
Code,B1SH16J,A1SK17J,People do not care about others problems
Code,B1SH16N,A1SK17N,Believe people are kind
Numeric,B1SSWBSI,A1SSWBSI,Social Integration (Social Well-Being)
Numeric,B1SSWBAO,A1SSWBAO,Acceptance of Others (Social Well-Being)
Numeric,B1SSWBSC,A1SSWBSC,Social Contribution (Social Well-Being)
Numeric,B1SSWBSA,A1SSWBSA,Social Actualization (Social Well-Being)
Code,B1SI6D,A1SL5D,Proud of my home
Code,B1SN5,A1SR7,Ever been born again
Numeric,B1SP1E,A1SS13E,Fired (times)
Code,B1SQ4,A1ST4,Rate control over life
