Name,Label,Codes,Type,Description,Study,Dataset
A1PB28I,Spouse/partner current employment - Maternity or sick leave,"1, YES | 2, NO | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PB28J,Spouse/partner current employment - Permanently disabled,"1, YES | 2, NO | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PB29A,Spouse/partner reason for current unemployment - Fired,"1, YES | 2, NO | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PB29E,Spouse/partner reason for current unemployment - Retired,"1, YES | 2, NO | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PB35,Number of biological children,"5, 5 OR MORE CHILDREN | 97, DONT KNOW | 98, REFUSED | 99, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PB36A1,Gender child 1,"1, MALE | 2, FEMALE | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PB3A,Current employment - Working,"1, YES | 2, NO | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PB3B,Current employment - Self-employed,"1, YES | 2, NO | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PB3C,Current employment - Unemployed,"1, YES | 2, NO | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PB3D,Current employment - Temporarily laid off,"1, YES | 2, NO | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PB3E,Current employment - Retired,"1, YES | 2, NO | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PB3F,Current employment - Homemaker,"1, YES | 2, NO | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PB3G,Current employment - Full-time student,"1, YES | 2, NO | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PB3H,Current employment - Part-time student,"1, YES | 2, NO | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PB3I,Current employment - Maternity or sick leave,"1, YES | 2, NO | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PB3J,Current employment - Permanently disabled,"1, YES | 2, NO | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PBYEAR,Respondent's birth year at MIDUS 1 Project 1 phone interview,,Numeric,,MIDUS 1 Project 1,M1P1
A1PC14,Family on welfare or ADC,"1, YES | 2, NO | 7, DON'T KNOW | 8, REFUSED | 9, INAPP | -1, RESPONDENT DOES NOT HAVE SAQ DATA",Code,,MIDUS 1 Project 1,M1P1
A1PD1,Satisfied with life at present,"1, A LOT | 2, SOMEWHAT | 3, A LITTLE | 4, NOT AT ALL | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PD2,Control over life in general at present,"1, A LOT | 2, SOMEWHAT | 3, A LITTLE | 4, NOT AT ALL | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PD3,Satisfied with self at present,"1, A LOT | 2, SOMEWHAT | 3, A LITTLE | 4, NOT AT ALL | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PD5,Worrying describes you,"1, A LOT | 2, SOMEWHAT | 3, A LITTLE | 4, NOT AT ALL | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PD6,Curious describes you,"1, A LOT | 2, SOMEWHAT | 3, A LITTLE | 4, NOT AT ALL | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PD8,Rate contribution to others (whole life),"1, EXCELLENT | 2, VERY GOOD | 3, GOOD | 4, FAIR | 5, POOR | 7, DON'T KNOW | 8, REFUSED | 9, INAPP | -1, RESPONDENT DOES NOT HAVE SAQ DATA",Code,,MIDUS 1 Project 1,M1P1
A1PD9,"Disappointed by achievement (agree, disagree)","1, AGREE | 2, DISAGREE | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PDEPDX,Depressed Affect + Anhedonia (binary),"0, NEGATIVE | 1, POSITIVE",Code,,MIDUS 1 Project 1,M1P1
A1PEDU,R education - dichotomous,"1, GRADUATED HIGH SCHOOL OR LESS | 2, SOME COLLEGE OR MORE | 9, NOT CALCULATED",Code,,MIDUS 1 Project 1,M1P1
A1PI_MO,Interview date - Month,,Numeric,,MIDUS 1 Project 1,M1P1
A1PI_YR,Interview date - Year,,Numeric,,MIDUS 1 Project 1,M1P1
